Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2009,M,Australia,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$677,174,158",0,0,N/A,0,N/A,0
2009,M,Belgium,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$975,619,132",0,0,N/A,0,N/A,0
2009,X,Belgium,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,730,230,188",0,0,N/A,0,N/A,0
2009,M,Brazil,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$946,059,849",0,0,N/A,0,N/A,0
2009,X,Brazil,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$492,674,635",0,0,N/A,0,N/A,0
2009,M,Australia,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,281,070,218",0,0,N/A,0,N/A,0
2009,X,Australia,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$653,001,866",0,0,N/A,0,N/A,0
2009,M,Brazil,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,195,988,129",0,0,N/A,0,N/A,0
2009,X,Brazil,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,137,625,624",0,0,N/A,0,N/A,0
2009,M,Australia,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$534,183,872",0,0,N/A,0,N/A,0
2009,X,Australia,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$723,462,714",0,0,N/A,0,N/A,0
2009,M,Belgium,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,553,069,503",0,0,N/A,0,N/A,0
2009,X,Belgium,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,081,936,375",0,0,N/A,0,N/A,0
2009,M,Brazil,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$210,526,726",0,0,N/A,0,N/A,0
2009,M,Australia,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,585,440,673",0,0,N/A,0,N/A,0
2009,X,Australia,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,124,964,438",0,0,N/A,0,N/A,0
2009,M,Belgium,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,915,027,703",0,0,N/A,0,N/A,0
2009,X,Belgium,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,791,554,519",0,0,N/A,0,N/A,0
2009,M,Brazil,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,744,625,497",0,0,N/A,0,N/A,0
2009,X,Brazil,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,711,857,771",0,0,N/A,0,N/A,0
2009,M,Australia,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,321,695,391",0,0,N/A,0,N/A,0
2009,X,Australia,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$968,149,388",0,0,N/A,0,N/A,0
2009,M,Belgium,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$40,872,938,186",0,0,N/A,0,N/A,0
2009,X,Belgium,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$66,296,049,014",0,0,N/A,0,N/A,0
2009,M,Brazil,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,739,784,397",0,0,N/A,0,N/A,0
2009,X,Brazil,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,948,044,907",0,0,N/A,0,N/A,0
2009,M,Australia,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$8,623,970,189",0,0,N/A,0,N/A,0
2009,X,Australia,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,032,357,985",0,0,N/A,0,N/A,0
2009,M,Belgium,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$59,496,626,372",0,0,N/A,0,N/A,0
2009,X,Belgium,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$71,617,425,222",0,0,N/A,0,N/A,0
2009,M,Brazil,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$10,150,371,672",0,0,N/A,0,N/A,0
2009,X,Brazil,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$6,171,900,278",0,0,N/A,0,N/A,0
2009,M,Australia,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$985,978,924",0,0,N/A,0,N/A,0
2009,X,Australia,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,256,754,053",0,0,N/A,0,N/A,0
2009,M,Belgium,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$897,001,357",0,0,N/A,0,N/A,0
2009,X,Belgium,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,533,084,581",0,0,N/A,0,N/A,0
2009,M,Brazil,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$567,834,779",0,0,N/A,0,N/A,0
2009,X,Brazil,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,863,760,284",0,0,N/A,0,N/A,0
2009,M,Australia,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,975,279,387",0,0,N/A,0,N/A,0
2009,X,Australia,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$794,614,076",0,0,N/A,0,N/A,0
2009,M,Belgium,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$11,529,631,255",0,0,N/A,0,N/A,0
2009,X,Belgium,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$17,510,999,483",0,0,N/A,0,N/A,0
2009,M,Brazil,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,802,438,901",0,0,N/A,0,N/A,0
2009,X,Brazil,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,015,062,968",0,0,N/A,0,N/A,0
2009,M,Australia,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$13,476,040,134",0,0,N/A,0,N/A,0
2009,X,Australia,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$30,014,166,312",0,0,N/A,0,N/A,0
2009,M,Belgium,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$9,611,556,237",0,0,N/A,0,N/A,0
2009,X,Belgium,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,098,616,675",0,0,N/A,0,N/A,0
2009,M,Brazil,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$5,583,604,838",0,0,N/A,0,N/A,0
2009,X,Brazil,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,269,526,894",0,0,N/A,0,N/A,0
2009,M,Australia,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$5,293,359,763",0,0,N/A,0,N/A,0
2009,X,Australia,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$12,281,988,992",0,0,N/A,0,N/A,0
2009,M,Belgium,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,315,953,065",0,0,N/A,0,N/A,0
2009,X,Belgium,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,367,213,486",0,0,N/A,0,N/A,0
2009,M,Brazil,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$5,118,182,922",0,0,N/A,0,N/A,0
2009,X,Brazil,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,657,500,485",0,0,N/A,0,N/A,0
2009,M,Australia,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,002,823,413",0,0,N/A,0,N/A,0
2009,X,Australia,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$654,620,804",0,0,N/A,0,N/A,0
2009,M,Belgium,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,308,570,184",0,0,N/A,0,N/A,0
2009,X,Belgium,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$985,281,442",0,0,N/A,0,N/A,0
2009,M,Brazil,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,896,692,562",0,0,N/A,0,N/A,0
2009,X,Brazil,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,674,594,859",0,0,N/A,0,N/A,0
2009,M,Australia,Netherlands,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,250,156,536",0,0,N/A,0,N/A,0
2009,X,Australia,Netherlands,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,581,782,084",0,0,N/A,0,N/A,0
