refperiodid,freqcode,typecode,refyear,refmonth,reporteriso,reporterdesc,partneriso,partnerdesc,classificationcode,aggrlevel,isleaf,moscode,motcode,flowcode,cmdcode,cmddesc,qty,netwgt,cifvalue,fobvalue,primaryvalue,isreported
20080101,A,C,2008,52,GBR,United Kingdom,USA,USA,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,65168291976.0,65168291976.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,GBR,United Kingdom,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,344603364.0,344603364.0,True
20080101,A,C,2008,52,NLD,Netherlands,USA,USA,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,39955896286.0,0.0,39955896286.0,True
20080101,A,C,2008,52,NLD,Netherlands,USA,USA,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,24293452648.0,24293452648.0,True
20080101,A,C,2008,52,NGA,Nigeria,USA,USA,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,2313078307.0,0.0,2313078307.0,True
20080101,A,C,2008,52,NGA,Nigeria,USA,USA,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,34758305725.0,34758305725.0,True
20080101,A,C,2008,52,RUS,Russian Federation,USA,USA,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,13818227926.0,0.0,13818227926.0,True
20080101,A,C,2008,52,RUS,Russian Federation,USA,USA,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,13752790092.0,13752790092.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,USA,USA,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,15481045751.0,0.0,15481045751.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,USA,USA,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,969668145.0,969668145.0,True
20080101,A,C,2008,52,IND,India,AUS,Australia,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,9568942373.0,0.0,9568942373.0,True
20080101,A,C,2008,52,IND,India,AUS,Australia,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1347331524.0,1347331524.0,True
20080101,A,C,2008,52,SGP,Singapore,AUS,Australia,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,4773289180.0,0.0,4773289180.0,True
20080101,A,C,2008,52,SGP,Singapore,AUS,Australia,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,14201620897.0,14201620897.0,True
20080101,A,C,2008,52,ZAF,South Africa,AUS,Australia,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,1630385379.0,1630385379.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,GBR,United Kingdom,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,3960717484.0,0.0,3960717484.0,True
20080101,A,C,2008,52,ZAF,South Africa,AUS,Australia,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1494371574.0,1494371574.0,True
20080101,A,C,2008,52,IND,India,BEL,Belgium,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,4717944168.0,4717944168.0,True
20080101,A,C,2008,52,SGP,Singapore,BEL,Belgium,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1668639208.0,0.0,1668639208.0,True
20080101,A,C,2008,52,SGP,Singapore,BEL,Belgium,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,2046774230.0,2046774230.0,True
20080101,A,C,2008,52,ZAF,South Africa,BEL,Belgium,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,1128157319.0,1128157319.0,True
20080101,A,C,2008,52,ZAF,South Africa,BEL,Belgium,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,2046632055.0,2046632055.0,True
20080101,A,C,2008,52,IND,India,BRA,Brazil,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1159829655.0,0.0,1159829655.0,True
20080101,A,C,2008,52,IND,India,BRA,Brazil,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,3250049801.0,3250049801.0,True
20080101,A,C,2008,52,SGP,Singapore,BRA,Brazil,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1327448833.0,0.0,1327448833.0,True
20080101,A,C,2008,52,SGP,Singapore,BRA,Brazil,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1641399790.0,1641399790.0,True
20080101,A,C,2008,52,ZAF,South Africa,BRA,Brazil,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,0.0,1661142554.0,1661142554.0,True
20080101,A,C,2008,52,ZAF,South Africa,BRA,Brazil,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,659292405.0,659292405.0,True
20080101,A,C,2008,52,IND,India,CAN,Canada,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,2332252650.0,0.0,2332252650.0,True
20080101,A,C,2008,52,IND,India,CAN,Canada,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1380024922.0,1380024922.0,True
20080101,A,C,2008,52,SGP,Singapore,CAN,Canada,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1131291102.0,0.0,1131291102.0,True
20080101,A,C,2008,52,IND,India,BEL,Belgium,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,5262434370.0,0.0,5262434370.0,True
20080101,A,C,2008,52,RUS,Russian Federation,GBR,United Kingdom,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,14904714346.0,14904714346.0,True
20080101,A,C,2008,52,RUS,Russian Federation,GBR,United Kingdom,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,7622204650.0,0.0,7622204650.0,True
20080101,A,C,2008,52,NGA,Nigeria,GBR,United Kingdom,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,1341725713.0,1341725713.0,True
20080101,A,C,2008,52,RUS,Russian Federation,ZAF,South Africa,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,442474531.0,0.0,442474531.0,True
20080101,A,C,2008,52,RUS,Russian Federation,ZAF,South Africa,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,40281277.0,40281277.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,ZAF,South Africa,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,635835728.0,0.0,635835728.0,True
