typecode,refyear,reporteriso,reporterdesc,partneriso,partnerdesc,flowcode,cmdcode,cmddesc,qty,netwgt,cifvalue,fobvalue,primaryvalue,isreported
C,2008,GBR,United Kingdom,USA,USA,X,TOTAL,All Commodities,0.0,0.0,0,65168291976,65168291976,True
C,2008,SAU,Saudi Arabia,GBR,United Kingdom,X,TOTAL,All Commodities,0.0,0.0,0,344603364,344603364,True
C,2008,NLD,Netherlands,USA,USA,M,TOTAL,All Commodities,0.0,0.0,39955896286,0,39955896286,True
C,2008,NLD,Netherlands,USA,USA,X,TOTAL,All Commodities,0.0,0.0,0,24293452648,24293452648,True
C,2008,NGA,Nigeria,USA,USA,M,TOTAL,All Commodities,0.0,0.0,2313078307,0,2313078307,True
C,2008,NGA,Nigeria,USA,USA,X,TOTAL,All Commodities,0.0,0.0,0,34758305725,34758305725,True
C,2008,RUS,Russian Federation,USA,USA,M,TOTAL,All Commodities,0.0,0.0,13818227926,0,13818227926,True
C,2008,RUS,Russian Federation,USA,USA,X,TOTAL,All Commodities,0.0,0.0,0,13752790092,13752790092,True
C,2008,SAU,Saudi Arabia,USA,USA,M,TOTAL,All Commodities,0.0,0.0,15481045751,0,15481045751,True
C,2008,SAU,Saudi Arabia,USA,USA,X,TOTAL,All Commodities,0.0,0.0,0,969668145,969668145,True
C,2008,IND,India,AUS,Australia,M,TOTAL,All Commodities,0.0,0.0,9568942373,0,9568942373,True
C,2008,IND,India,AUS,Australia,X,TOTAL,All Commodities,0.0,0.0,0,1347331524,1347331524,True
C,2008,SGP,Singapore,AUS,Australia,M,TOTAL,All Commodities,0.0,0.0,4773289180,0,4773289180,True
C,2008,SGP,Singapore,AUS,Australia,X,TOTAL,All Commodities,0.0,0.0,0,14201620897,14201620897,True
C,2008,ZAF,South Africa,AUS,Australia,M,TOTAL,All Commodities,0.0,0.0,0,1630385379,1630385379,True
C,2008,SAU,Saudi Arabia,GBR,United Kingdom,M,TOTAL,All Commodities,0.0,0.0,3960717484,0,3960717484,True
C,2008,ZAF,South Africa,AUS,Australia,X,TOTAL,All Commodities,0.0,0.0,0,1494371574,1494371574,True
C,2008,IND,India,BEL,Belgium,X,TOTAL,All Commodities,0.0,0.0,0,4717944168,4717944168,True
C,2008,SGP,Singapore,BEL,Belgium,M,TOTAL,All Commodities,0.0,0.0,1668639208,0,1668639208,True
C,2008,SGP,Singapore,BEL,Belgium,X,TOTAL,All Commodities,0.0,0.0,0,2046774230,2046774230,True
C,2008,ZAF,South Africa,BEL,Belgium,M,TOTAL,All Commodities,0.0,0.0,0,1128157319,1128157319,True
C,2008,ZAF,South Africa,BEL,Belgium,X,TOTAL,All Commodities,0.0,0.0,0,2046632055,2046632055,True
C,2008,IND,India,BRA,Brazil,M,TOTAL,All Commodities,0.0,0.0,1159829655,0,1159829655,True
C,2008,IND,India,BRA,Brazil,X,TOTAL,All Commodities,0.0,0.0,0,3250049801,3250049801,True
C,2008,SGP,Singapore,BRA,Brazil,M,TOTAL,All Commodities,0.0,0.0,1327448833,0,1327448833,True
C,2008,SGP,Singapore,BRA,Brazil,X,TOTAL,All Commodities,0.0,0.0,0,1641399790,1641399790,True
C,2008,ZAF,South Africa,BRA,Brazil,M,TOTAL,All Commodities,0.0,0.0,0,1661142554,1661142554,True
C,2008,ZAF,South Africa,BRA,Brazil,X,TOTAL,All Commodities,0.0,0.0,0,659292405,659292405,True
C,2008,IND,India,CAN,Canada,M,TOTAL,All Commodities,0.0,0.0,2332252650,0,2332252650,True
C,2008,IND,India,CAN,Canada,X,TOTAL,All Commodities,0.0,0.0,0,1380024922,1380024922,True
C,2008,SGP,Singapore,CAN,Canada,M,TOTAL,All Commodities,0.0,0.0,1131291102,0,1131291102,True
C,2008,IND,India,BEL,Belgium,M,TOTAL,All Commodities,0.0,0.0,5262434370,0,5262434370,True
C,2008,RUS,Russian Federation,GBR,United Kingdom,X,TOTAL,All Commodities,0.0,0.0,0,14904714346,14904714346,True
C,2008,RUS,Russian Federation,GBR,United Kingdom,M,TOTAL,All Commodities,0.0,0.0,7622204650,0,7622204650,True
C,2008,NGA,Nigeria,GBR,United Kingdom,X,TOTAL,All Commodities,0.0,0.0,0,1341725713,1341725713,True
C,2008,RUS,Russian Federation,ZAF,South Africa,M,TOTAL,All Commodities,0.0,0.0,442474531,0,442474531,True
C,2008,RUS,Russian Federation,ZAF,South Africa,X,TOTAL,All Commodities,0.0,0.0,0,40281277,40281277,True
C,2008,SAU,Saudi Arabia,ZAF,South Africa,M,TOTAL,All Commodities,0.0,0.0,635835728,0,635835728,True
C,2008,SAU,Saudi Arabia,ZAF,South Africa,X,TOTAL,All Commodities,0.0,0.0,0,312906258,312906258,True
C,2008,NLD,Netherlands,ESP,Spain,M,TOTAL,All Commodities,0.0,0.0,8823250447,0,8823250447,True
C,2008,NLD,Netherlands,ESP,Spain,X,TOTAL,All Commodities,0.0,0.0,0,18759252135,18759252135,True
C,2008,NGA,Nigeria,ESP,Spain,M,TOTAL,All Commodities,0.0,0.0,83155478,0,83155478,True
C,2008,NGA,Nigeria,ESP,Spain,X,TOTAL,All Commodities,0.0,0.0,0,2798629327,2798629327,True
C,2008,RUS,Russian Federation,ESP,Spain,M,TOTAL,All Commodities,0.0,0.0,4242984571,0,4242984571,True
C,2008,RUS,Russian Federation,ESP,Spain,X,TOTAL,All Commodities,0.0,0.0,0,5060891800,5060891800,True
C,2008,SAU,Saudi Arabia,ESP,Spain,M,TOTAL,All Commodities,0.0,0.0,1300739226,0,1300739226,True
C,2008,SAU,Saudi Arabia,ESP,Spain,X,TOTAL,All Commodities,0.0,0.0,0,331095614,331095614,True
C,2008,NLD,Netherlands,CHE,Switzerland,M,TOTAL,All Commodities,0.0,0.0,3041729012,0,3041729012,True
C,2008,NLD,Netherlands,CHE,Switzerland,X,TOTAL,All Commodities,0.0,0.0,0,7297604191,7297604191,True
C,2008,NGA,Nigeria,CHE,Switzerland,M,TOTAL,All Commodities,0.0,0.0,882803363,0,882803363,True
C,2008,NGA,Nigeria,CHE,Switzerland,X,TOTAL,All Commodities,0.0,0.0,0,181316887,181316887,True
C,2008,RUS,Russian Federation,CHE,Switzerland,M,TOTAL,All Commodities,0.0,0.0,2392119232,0,2392119232,True
C,2008,NGA,Nigeria,GBR,United Kingdom,M,TOTAL,All Commodities,0.0,0.0,1228092466,0,1228092466,True
C,2008,NLD,Netherlands,GBR,United Kingdom,X,TOTAL,All Commodities,0.0,0.0,0,49490834615,49490834615,True
C,2008,NLD,Netherlands,GBR,United Kingdom,M,TOTAL,All Commodities,0.0,0.0,31272700755,0,31272700755,True
C,2008,SAU,Saudi Arabia,ARE,United Arab Emirates,X,TOTAL,All Commodities,0.0,0.0,0,4585692132,4585692132,True
C,2008,SAU,Saudi Arabia,ARE,United Arab Emirates,M,TOTAL,All Commodities,0.0,0.0,2820259259,0,2820259259,True
C,2008,RUS,Russian Federation,ARE,United Arab Emirates,X,TOTAL,All Commodities,0.0,0.0,0,804956559,804956559,True
C,2008,SGP,Singapore,CAN,Canada,X,TOTAL,All Commodities,0.0,0.0,0,1960174918,1960174918,True
C,2008,RUS,Russian Federation,ARE,United Arab Emirates,M,TOTAL,All Commodities,0.0,0.0,41478398,0,41478398,True
C,2008,NGA,Nigeria,ARE,United Arab Emirates,M,TOTAL,All Commodities,0.0,0.0,911930850,0,911930850,True
C,2008,NLD,Netherlands,ARE,United Arab Emirates,X,TOTAL,All Commodities,0.0,0.0,0,3255466762,3255466762,True
C,2008,NLD,Netherlands,ARE,United Arab Emirates,M,TOTAL,All Commodities,0.0,0.0,1091140514,0,1091140514,True
C,2008,SAU,Saudi Arabia,CHE,Switzerland,X,TOTAL,All Commodities,0.0,0.0,0,329803612,329803612,True
C,2008,SAU,Saudi Arabia,CHE,Switzerland,M,TOTAL,All Commodities,0.0,0.0,2030117738,0,2030117738,True
C,2008,RUS,Russian Federation,CHE,Switzerland,X,TOTAL,All Commodities,0.0,0.0,0,10302830262,10302830262,True
C,2008,NGA,Nigeria,ARE,United Arab Emirates,X,TOTAL,All Commodities,0.0,0.0,0,76553257,76553257,True
C,2008,ZAF,South Africa,CAN,Canada,M,TOTAL,All Commodities,0.0,0.0,0,928020523,928020523,True
C,2008,ZAF,South Africa,CAN,Canada,X,TOTAL,All Commodities,0.0,0.0,0,425385292,425385292,True
C,2008,IND,India,CHN,China,M,TOTAL,All Commodities,0.0,0.0,31586024206,0,31586024206,True
C,2008,IND,India,KOR,Rep. of Korea,M,TOTAL,All Commodities,0.0,0.0,8350676521,0,8350676521,True
C,2008,IND,India,KOR,Rep. of Korea,X,TOTAL,All Commodities,0.0,0.0,0,3773311534,3773311534,True
C,2008,SGP,Singapore,KOR,Rep. of Korea,M,TOTAL,All Commodities,0.0,0.0,18135057307,0,18135057307,True
