typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,1051153630.0,1051153630.0,0,True,False
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,1055977132.286,0.0,1055977132.286,4,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,X,Export,36,AUS,Australia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,1401036946.44,1401036946.44,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,1244719172.0,1163276499.0,1244719172.0,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,X,Export,36,AUS,Australia,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,450668898.0,450668898.0,4,False,True
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,1621000702.0,1621000702.0,0,True,False
C,A,20130101,2013,52,2013,36,AUS,Australia,X,Export,56,BEL,Belgium,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,1031543916.0,1031543916.0,0,True,False
C,A,20130101,2013,52,2013,76,BRA,Brazil,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,2100093772.0,2006965795.0,2100093772.0,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,X,Export,56,BEL,Belgium,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,3593514298.0,3593514298.0,4,False,True
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,544737646.0,544737646.0,0,True,False
C,A,20130101,2013,52,2013,36,AUS,Australia,X,Export,76,BRA,Brazil,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,689902980.0,689902980.0,0,True,False
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,1762210535.328,0.0,1762210535.328,4,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,X,Export,76,BRA,Brazil,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,2638894006.12,2638894006.12,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,708995853.0,705169775.0,708995853.0,4,False,True
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,1921262380.0,1921262380.0,0,True,False
C,A,20130101,2013,52,2013,36,AUS,Australia,X,Export,124,CAN,Canada,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,1044368955.0,1044368955.0,0,True,False
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,2297787213.142,0.0,2297787213.142,4,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,X,Export,124,CAN,Canada,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,2084238736.149,2084238736.149,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3227502404.0,3001661640.0,3227502404.0,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,X,Export,124,CAN,Canada,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,2701713709.0,2701713709.0,4,False,True
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,156,CHN,China,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,44861052377.0,44861052377.0,0,True,False
C,A,20130101,2013,52,2013,36,AUS,Australia,X,Export,156,CHN,China,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,87311419328.0,87311419328.0,0,True,False
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,156,CHN,China,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,7992736880.193,0.0,7992736880.193,4,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,X,Export,156,CHN,China,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,7384074230.753,7384074230.753,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,M,Import,156,CHN,China,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,39632451587.0,37325464635.0,39632451587.0,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,X,Export,156,CHN,China,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,46023192076.0,46023192076.0,4,False,True
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,251,FRA,France,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,3843813258.0,3843813258.0,0,True,False
C,A,20130101,2013,52,2013,36,AUS,Australia,X,Export,251,FRA,France,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,1162597343.0,1162597343.0,0,True,False
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,251,FRA,France,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,38349908665.988,0.0,38349908665.988,4,False,True
C,A,20130101,2013,52,2013,56,BEL,Belgium,X,Export,251,FRA,France,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,0.0,50772479489.54,50772479489.54,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,M,Import,251,FRA,France,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,6710398434.0,6510113752.0,6710398434.0,4,False,True
C,A,20130101,2013,52,2013,76,BRA,Brazil,X,Export,251,FRA,France,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,,3423194042.0,3423194042.0,4,False,True
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,10937428846.0,10937428846.0,0,True,False
C,A,20130101,2013,52,2013,36,AUS,Australia,X,Export,276,DEU,Germany,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,,False,-1,,,False,,False,,False,,1374827825.0,1374827825.0,0,True,False
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,49181388675.565,0.0,49181388675.565,4,False,True
